;City;Place_ID;Place_Name;Cuisine;Address;Phone Number;Price level;Avg rating;Amount of ratings;Vegetarian;Beer;Wine;Opening Hours;tags
0;Gdynia;ChIJK4PtjPun_UYRRYuECz2jxWk;10/10 Sushi;['japanese', 'sushi'];Świętojańska 48, 81-393 Gdynia, Poland;+48 534 454 824;2.0;4.4;229;False;True;False;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}];['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']
1;Sopot;ChIJvybH-5IK_UYRfeQa5nqUcfA;1911 Restaurant;['turkish', 'chinese'];Grunwaldzka 4/6, 81-759 Sopot, Poland;+48 572 945 145;2.0;4.7;524;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1400'}}];['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']
2;Sopot;ChIJR_4eirUL_UYRCEVs1GUPXdY;A MODO MIO Da CIRO SOPOT;['italian'];Morska 16, 81-764 Sopot, Poland;+48 58 342 71 16;2.0;4.4;1324;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
3;Gdańsk;ChIJoypSPaFz_UYRe_809t6YJOQ;A la française;['french'];Spichrzowa 24, 80-750 Gdańsk, Poland;+48 58 765 11 12;2.0;4.6;1419;True;True;True;[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0900'}}];['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']
4;Gdynia;ChIJOwSt0BCn_UYRaX4pwWzfdTE;ALGA street food;['japanese'];Świętojańska 13, 81-368 Gdynia, Poland;+48 537 361 313;2.0;4.7;1092;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
5;Gdańsk;ChIJYQc7flp1_UYRlAGsWHS4T44;ALTIN KEBAP;['turkish'];Warszawska 59a/Loc 1, 80-180 Gdańsk, Poland;+48 603 232 315;2.0;4.2;727;True;True;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1030'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
6;Gdańsk;ChIJA-80xCCl_UYRO3nCtq476W4;Adem Kebab;['turkish'];aleja Grunwaldzka 205/209, 80-266 Gdańsk, Poland;+48 519 619 236;2.0;4.6;1013;False;True;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
7;Gdynia;ChIJUQB_Faah_UYRGVSBuYdIMgY;Agato Sushi;['japanese', 'sushi'];Strzelców 1/U3, 81-586 Gdynia, Poland;+48 663 010 088;2.0;4.8;291;True;False;False;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
8;Gdańsk;ChIJk6rtQKR1_UYRRDZJz_pc7iY;Akita Ramen;['japanese'];Bernarda Chrzanowskiego 11, 80-278 Gdańsk, Poland;+48 662 447 818;2.0;4.7;1555;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1305'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1305'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1305'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1305'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1305'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1305'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
9;Gdańsk;ChIJiUFLSV11_UYRNSX1hpA-HWY;Al Bacio - Pizza Napoletana Pasta & Vino;['italian', 'pizza'];Bolesława Chrobrego 79A/U58, 80-414 Gdańsk, Poland;+48 572 161 181;2.0;4.9;414;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
