;Place_ID;Address;Phone Number;Price level;Avg rating;Amount of ratings;Vegetarian;Beer;Wine;Opening Hours;tags
0;ChIJK4PtjPun_UYRRYuECz2jxWk;Świętojańska 48, 81-393 Gdynia, Poland;+48 534 454 824;;4.4;229;;True;;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}];['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']
1;ChIJvybH-5IK_UYRfeQa5nqUcfA;Grunwaldzka 4/6, 81-759 Sopot, Poland;+48 572 945 145;;4.7;524;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1400'}}];['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']
2;ChIJZTqg4JEK_UYReRYIAngM-9k;Bohaterów Monte Cassino 53, 81-767 Sopot, Poland;+48 662 208 719;2;4.4;466;True;True;True;;['restaurant', 'food', 'point_of_interest', 'establishment']
3;ChIJR_4eirUL_UYRCEVs1GUPXdY;Morska 16, 81-764 Sopot, Poland;+48 58 342 71 16;2;4.4;1324;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
4;ChIJoypSPaFz_UYRe_809t6YJOQ;Spichrzowa 24, 80-750 Gdańsk, Poland;+48 58 765 11 12;2;4.6;1419;True;True;True;[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0900'}}];['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']
5;ChIJOwSt0BCn_UYRaX4pwWzfdTE;Świętojańska 13, 81-368 Gdynia, Poland;+48 537 361 313;2;4.7;1092;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
6;ChIJYQc7flp1_UYRlAGsWHS4T44;Warszawska 59a/Loc 1, 80-180 Gdańsk, Poland;+48 603 232 315;;4.2;727;True;True;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1030'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
7;ChIJA-80xCCl_UYRO3nCtq476W4;aleja Grunwaldzka 205/209, 80-266 Gdańsk, Poland;+48 519 619 236;;4.6;1013;;True;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
8;ChIJUQB_Faah_UYRGVSBuYdIMgY;Strzelców 1/U3, 81-586 Gdynia, Poland;+48 663 010 088;;4.8;291;True;;;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
9;ChIJk6rtQKR1_UYRRDZJz_pc7iY;Bernarda Chrzanowskiego 11, 80-278 Gdańsk, Poland;+48 662 447 818;2;4.7;1555;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1305'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1305'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1305'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1305'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1305'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1305'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
